nombre,numero de opiniones,puntuacion sobre 5,ranking,precio,tipos de cocina,dietas especiales,ubicaciones,puntuaciones desglosadas,Unnamed: 9
El Chaparritos,93,"4,0",1894,"['10', '20']","['Mexicana', ' Latina', ' Sudamericana', ' Centroamericana']","['Comidas', ' Cenas']","Calle Mayor, 68 Metro Sol & Metro Opera, 28013 Madrid España","['3', '8', '9', '21', '34']",
El Ventorrillo Murciano,131,"4,0",1895,"['30', '121']","['Mediterránea', ' Española', ' Europea']",['Opciones vegetarianas'],"Calle del Tres Peces 20, 28012 Madrid España","['5', '11', '13', '26', '40']",
"La Tagliatella C/Poeta Joan Maragall, Madrid",305,"3,5",1915,"['16', '18']","['Pizza', ' Italiana', ' Mediterránea', ' Europea']","['Opciones vegetarianas', ' Opciones veganas']","Calle Poeta Joan Maragall 53, 28020 Madrid España","['19', '21', '67', '108', '72']",
Macarena Madrid,270,"4,0",1916,"['20', '38']","['Internacional', ' Mediterránea', ' Española', ' Fusión']","['Opciones vegetarianas', ' Opciones sin gluten']","C/Rodio 6, 28045 Madrid España","['33', '25', '31', '57', '115']",
Aji & Sillao,20,"5,0",1917,"['20', '45']","['Peruana', ' Latina', ' Saludable', ' Fusión', ' Sudamericana']","['Comidas', ' Cenas', ' Bebidas']","Calle De Elfo 112, 28027 Madrid España","['0', '0', '0', '3', '16']",
Chacabuco 9-30,43,"4,5",1918,"['20', '50']","['Española', ' Argentina', ' Restaurante de carne', ' Barbacoa']","['Comidas', ' Cenas']","Paseo Zurron 53, 28042 Madrid España","['2', '0', '0', '4', '32']",
La Daniela Cuchilleros,583,"3,5",1919,"['19', '38']","['Mediterránea', ' Española']","['Comidas', ' Cenas', ' Abierto hasta tarde']","Calle de los Cuchilleros, 9, 28005 Madrid España","['50', '46', '95', '151', '104']",
El Urogallo - Casa de Campo,579,"3,5",1921,"['15', '40']","['Mediterránea', ' Europea', ' Española']","['Opciones vegetarianas', ' Opciones sin gluten']","Lago de la Casa de Campo, s.n Lago de Casa de Campo, Paseo de la Florida, 28011 Madrid España","['64', '50', '86', '179', '162']",
Casa María - Mercado de Producto Madrid,22,"5,0",1920,"['3', '20']","['Española', ' Mediterránea']","['Comidas', ' Cenas', ' Bebidas']","Calle de Santa Isabel 5 Mercado de Anton Martin 1ª planta, 28012 Madrid España","['0', '0', '0', '0', '18']",
Taberna Palo Cortado,69,"4,5",1942,,['Española'],,"Calle Espronceda 18, 28003 Madrid España","['1', '2', '6', '19', '28']",
Lapizza+sana,103,"4,0",1943,"['12', '30']","['Pizza', ' Italiana', ' Saludable']","['Opciones vegetarianas', ' Opciones veganas', ' Opciones sin gluten']","Avenida Machupichu 16, 28043 Madrid España","['3', '5', '17', '33', '42']",
Rollo Ocho,18,"5,0",1944,,"['Mexicana', ' Española']",,"Calle del Rollo 8 La Latina, 28005 Madrid España","['0', '0', '1', '1', '5']",
Trasgu,257,"3,5",1945,,"['Mediterránea', ' Española']",,"Bulevar Jose Prat, 27-A Valdebernardo), 28032 Madrid España","['25', '21', '37', '94', '75']",
Tanteo,201,"4,0",32,"['21', '35']","['Mediterránea', ' Española', ' Europea']","['Opciones vegetarianas', ' Opciones veganas']","Calle de Rosalia de Castro 1, 28220 Majadahonda España","['11', '11', '38', '79', '59']",
L' Incanto Gastrobar,25,"5,0",1947,"['7', '25']","['Italiana', ' Mediterránea', ' Saludable', ' Siciliana', ' Del sur de Italia']","['Opciones veganas', ' Opciones vegetarianas']","Calle Eraso 14, 28028 Madrid España","['0', '1', '0', '2', '20']",
,188,"4,0",.º 1946,"['10', '15']","['Italiana', ' Pizza', ' Mediterránea', ' Europea', ' Napolitana', ' De Campania', ' Del sur de Italia', ' Pub con cerveza artesanal']",['Opciones vegetarianas'],"Calle Pez 11, Madrid, 28004 Madrid España","['25', '10', '10', '43', '59']",
Seoul,194,"4,0",1967,"['25', '25']","['Asiática', ' Coreana']","['Opciones vegetarianas', ' Opciones veganas']","Ronda Segovia 25, 28005 Madrid España","['8', '11', '26', '81', '52']",
RESTAURANTE BRASAYLEÑA C.C. NASSICA,474,"4,0",11,"['15', '20']","['Restaurante de carne', ' Brasileña', ' Barbacoa', ' Sudamericana', ' Latina']","['Comidas', ' Cenas', ' Abierto hasta tarde', ' Bebidas']","Av. Río Guadalquivir, 13 Centro Comercial Nassica, 28906 Getafe España","['72', '35', '43', '81', '227']",
Café Comercial,708,"3,5",1968,"['8', '10']","['Café', ' Mediterránea', ' Española']","['Opciones vegetarianas', ' Opciones veganas', ' Opciones sin gluten']","Glorieta Bilbao 7, 28004 Madrid España","['89', '57', '106', '170', '174']",
Prrimital,17,"5,0",1969,,"['Restaurante de carne', ' Tienda gourmet', ' Asador', ' Street food / Comida en la calle', ' Barbacoa']",,"Pl. De San Miguel, 28005 Madrid, 28005 Madrid España","['0', '0', '0', '0', '16']",
Aloha Poké,45,"4,5",1970,"['10', '15']","['Comida rápida', ' Asiática', ' Hawaiana', ' Internacional', ' Saludable']",['Opciones veganas'],"Corredera Alta de San Pablo 5, 28004 Madrid España","['4', '2', '0', '3', '35']",
Kanbun,65,"4,0",1971,,"['Japonesa', ' Sushi', ' Asiática']",,"Calle Hermosilla 39, 28001 Madrid España","['6', '2', '3', '15', '35']",
Tuk Tuk Asian Street Food Perón,259,"4,0",1972,"['15', '20']","['Asiática', ' Tailandesa', ' Vietnamita', ' Indonesia', ' Singapureña']","['Opciones vegetarianas', ' Opciones veganas', ' Opciones sin gluten']","Avenida General Perón 16 (Metro Santiago Bernabeu), 28020 Madrid España","['19', '14', '38', '79', '96']",
Trattoria Sant Arcangelo,330,"3,5",1995,"['25', '40']","['Italiana', ' Mediterránea', ' Europea']","['Opciones vegetarianas', ' Opciones veganas']","Calle Moreto 15, 28014 Madrid España","['34', '17', '39', '86', '106']",
Empanadas Malvón,22,"5,0",1994,,['Argentina'],,"Calle Margarita De Parma, 1, 28050 Madrid España","['1', '0', '0', '0', '21']",
Piccolina,79,"4,5",15,,"['Italiana', ' Mediterránea']",,"Calle de Maria Santos Colmenar 10, 28703 San Sebastián de los Reyes España","['5', '4', '2', '9', '57']",
Peñalaire,53,"4,5",1996,,"['Mediterránea', ' Española']",,"Calle Embajadores 21, 28012 Madrid España","['0', '1', '5', '11', '30']",
Miss Sushi Hortaleza,371,"3,5",1998,"['13', '25']","['Japonesa', ' Sushi', ' Fusión']","['Opciones veganas', ' Opciones sin gluten', ' Opciones vegetarianas']","Calle Hortaleza 108, 28004 Madrid España","['26', '35', '51', '148', '76']",
La Malacara - Cocina de Tradición,33,"4,5",1997,"['15', '45']","['Italiana', ' Argentina', ' Pizza', ' Saludable']","['Comidas', ' Cenas', ' Brunch', ' Bebidas']","Calle Virgen del Sagrario 21 Local en la esquina - Restaurante La Malacara - Cocina de Tradición, 28027 Madrid España","['0', '3', '0', '4', '22']",
Miss Sushi Serrano,390,"4,0",1999,"['13', '25']","['Japonesa', ' Sushi', ' Fusión']","['Opciones vegetarianas', ' Opciones veganas']","Padilla 4, Madrid Casi esquina con laCalle Serrano, 28006 Madrid España","['39', '18', '52', '113', '130']",
Mesón Quinta Dimensión,64,"4,5",2021,"['10', '45']","['Mediterránea', ' Española', ' Egipcia', ' Fusión']","['Comidas', ' Cenas', ' Desayuno', ' Abierto hasta tarde', ' Bebidas']","Calle Domenico Scarlatti, 3, 28003 Madrid España","['1', '3', '2', '17', '41']",
Restaurante Cabo do Mundo,169,"4,0",2022,"['35', '80']","['Restaurante de carne', ' Mediterránea', ' Española']","['Opciones veganas', ' Opciones sin gluten']","Calle Rosario Pino 12, Madrid España","['25', '3', '10', '21', '93']",
Taberna Ilustrada El Capricho,148,"4,0",2023,,"['Mediterránea', ' Europea', ' Española']",,"Calle Doctor Castelo 14, 28009 Madrid España","['9', '6', '21', '48', '50']",
Kalma Café & Brunch,45,"4,0",41,,"['Mediterránea', ' Europea', ' Española', ' Fusión', ' Saludable']",,"Calle Reina Sofía 42, 35510, Lanzarote España","['2', '0', '0', '2', '3']",
Il Tocco Giusto da Luigi,87,"4,5",2024,"['11', '45']","['Italiana', ' Pizza', ' Mediterránea']",['Opciones vegetarianas'],"Calle Cardenal Cisneros 11, 28010 Madrid España","['4', '0', '6', '30', '44']",
Midang,34,"4,5",2025,"['4', '25']","['Coreana', ' Asiática']","['Comidas', ' Cenas']","Calle San Antonio 6 Al lado de Mercado Maravillas, Bravo Murillo, 28020 Madrid España","['1', '0', '1', '6', '24']",
Restaurante Arrabal,243,"4,0",2026,"['8', '28']","['Mediterránea', ' Española', ' Internacional']","['Comidas', ' Cenas', ' Brunch', ' Abierto hasta tarde', ' Bebidas']","Plaza Mayor 23 Dentro de la Plaza Mayor, 28012 Madrid España","['28', '8', '14', '12', '105']",
Tropikal luxury buffet,94,"4,0",2050,"['4', '25']","['China', ' Japonesa', ' Sushi', ' Asiática']","['Opciones vegetarianas', ' Opciones veganas']","Calle del Doctor Fleming 31, 28036 Madrid España","['7', '2', '16', '23', '42']",
Ocafu Prado,223,"4,0",2052,,['Española'],,"Calle del Prado 10, 28014 Madrid España","['14', '15', '29', '62', '53']",
La Fondue de Tell,256,"4,0",2053,,"['Suiza', ' Europea', ' Centroeuropea']",,"Calle Divino Pastor 12, 28004 Madrid España","['19', '9', '38', '102', '64']",
RESTAURANTE BRASAYLEÑA C.C. PARQUESUR,549,"3,5",17,"['10', '20']","['Restaurante de carne', ' Brasileña', ' Barbacoa', ' Asador']","['Comidas', ' Cenas']","Avenida Rey Juan Carlos I, 79 Centro Comercial Parque sur, 28916 Leganés España","['110', '27', '48', '69', '286']",
Café Mies,110,"4,0",2054,,"['Mediterránea', ' Española']",,"Av. del General Perón, 4 Av. del General Peron, 4, 28020 Madrid España","['10', '8', '11', '22', '50']",
Empanadas Malvón,18,"5,0",2056,,['Argentina'],,"Av. del General Perón, 14, 28020 Madrid España","['0', '0', '0', '0', '17']",
Nanako,21,"4,5",2055,,"['Japonesa', ' Sushi', ' Asiática']",,"C. de Raimundo Lulio, 24, 28010 Madrid España","['0', '1', '0', '3', '16']",
Tierra de Barros,228,"4,0",35,"['20', '50']","['Mediterránea', ' Europea', ' Española']","['Comidas', ' Cenas']","Calle de Dolores Ibarruri, 21 Dolores Ibarruri esquina Pablo Iglesias, 28100 Alcobendas España","['19', '11', '35', '79', '81']",
La Casa de las Torrijas,209,"4,0",2076,,"['Bar', ' Española', ' Pub']",,"C/de la Paz 4, 28012 Madrid España","['25', '4', '10', '49', '82']",
La Parrilla de Leganes,105,"4,0",18,,"['Mediterránea', ' Española', ' Contemporánea']",,"Avenida Gran Bretana s/n, 28916 Leganés España","['6', '3', '11', '27', '56']",
La Vaca Roxa,14,"5,0",2077,"['30', '70']","['Bar', ' Barbacoa', ' Española', ' Asador', ' Pub']","['Comidas', ' Cenas', ' Abierto hasta tarde', ' Bebidas', ' Desayuno']","Avenida Brasil 11, 28020 Madrid España","['0', '0', '0', '0', '14']",
Madrid 1883 churrería - chocolatería,73,"4,5",2078,,"['Café', ' Española']",,"Calle Espiritu Santo No 8 Bajo Derecha, 28004 Madrid España","['3', '1', '7', '11', '22']",
Maitake Restaurante Japones,112,"4,0",2079,,"['Japonesa', ' Sushi', ' Asiática']",,"Calle de Alcalá, 105, 28009 Madrid España","['9', '2', '23', '23', '44']",
Mar Rojo,60,"4,5",2101,,"['Mediterránea', ' Española']",,"Pasaje Dolores 16, 28002 Madrid España","['3', '0', '3', '14', '38']",
La Trasiega,145,"4,0",13,,"['Mediterránea', ' Europea', ' Española']",,"Avenida Teresa de Calcuta, 12, 28903 Getafe España","['16', '10', '12', '24', '79']",
Cervecería Tía Candela,58,"4,5",2104,"['4', '11']","['Mediterránea', ' Española']","['Comidas', ' Cenas', ' Abierto hasta tarde', ' Bebidas']","Calle Velarde # 13, 28004 Madrid España","['1', '5', '3', '9', '23']",
Goizeko Wellington,76,"4,5",2105,,"['Mediterránea', ' Europea', ' Española']",,"Velázquez, 8, 28001 Madrid España","['3', '3', '5', '11', '42']",
Poco a Poco,134,"4,0",30,,"['Mediterránea', ' Española', ' Europea']",,"Plaza de Luis Garcia Berlanga 2, 28223 Pozuelo de Alarcón España","['8', '5', '17', '53', '50']",
Nájera,110,"4,0",2108,,"['Española', ' Mediterránea']",,"Calle Claudio Coello 116, 28006 Madrid España","['6', '3', '12', '36', '48']",
Soup Bowls,27,"5,0",2106,"['3', '10']","['Internacional', ' Sopas', ' Española']","['Opciones vegetarianas', ' Opciones veganas']","Calle Andrés Borrego 2, 28004 Madrid España","['0', '0', '0', '1', '17']",
Santino's Pizzeria,24,"5,0",2127,,"['Italiana', ' Pizza', ' Argentina', ' Sudamericana']",,"Calle de la Hiruela Local 20, 28035 Madrid España","['0', '0', '0', '3', '21']",
Prost Chamberi,70,"4,5",2128,"['8', '25']","['Restaurante de carne', ' Barbacoa', ' Argentina', ' Española']","['Cenas', ' Comidas']","Calle Vallehermoso 36, 28015 Madrid España","['2', '1', '7', '20', '34']",
Restaurante il portone,107,"4,0",22,,"['Italiana', ' Mediterránea', ' Europea']",,"Camino Majadahonda 42-44 Boadilla del Monte, Madrid 28660, 28660 Boadilla del Monte España","['5', '5', '9', '33', '52']",
Airinos de Lugo,45,"4,5",2129,,['Española'],,"Calle Jose Espelius 9, 28011 Madrid España","['1', '0', '4', '14', '26']",
El Rincon del Greco,70,"4,5",2130,"['8', '15']","['Española', ' Pub restaurante']",['Cenas'],"Av. Ntra Señora de Fátima, 98, 28047 Madrid España","['2', '3', '5', '25', '32']",
BeeHealthyShop,39,"5,0",2131,,"['Taiwanesa', ' Fusión', ' Asiática']",,"Calle Santa Isabel 5 Bajo Puesto 3, 28012 Madrid España","['0', '0', '0', '3', '33']",
Anana fresh & chill,31,"4,5",2132,,['Hawaiana'],,"Calle Sagasta 14, 28004 Madrid España","['0', '0', '1', '6', '20']",
Paladar Urbano,32,"5,0",2153,"['7', '19']","['Americana', ' Comida rápida', ' Venezolana', ' Sudamericana']","['Desayuno', ' Comidas', ' Cenas', ' Brunch', ' Abierto hasta tarde', ' Bebidas']","Calle Hartzenbusch 7, 28010 Madrid España","['1', '0', '0', '3', '28']",
Restaurante La Quinta,102,"4,0",2154,,['Española'],,"Suero de Quinones, 24, 28002 Madrid España","['2', '4', '17', '38', '35']",
La Cúpula de Los Peñotes,98,"4,0",36,"['15', '40']","['Española', ' Mediterránea', ' Saludable']","['Opciones vegetarianas', ' Opciones veganas']","Carretera de Burgos km 13,900 Los Peñotes, 28108 Alcobendas España","['10', '5', '7', '10', '60']",
Pokelolo,29,"4,5",2155,"['8', '14']","['Comida rápida', ' Hawaiana', ' Japonesa', ' Asiática', ' Fusión japonesa']","['Opciones vegetarianas', ' Opciones veganas']","Calle de Núñez de Balboa, 35 Located in the Salamanca Neighborhood just two blocks away from El Retiro Park., 28001 Madrid España","['1', '1', '0', '7', '16']",
La Penela Restaurante Gallego. Velázquez,206,"3,5",2156,,['Española'],,"Calle Velázquez 96, 28006 Madrid España","['21', '19', '31', '62', '51']",
Royal Thai,72,"4,0",2158,"['10', '40']","['Asiática', ' Tailandesa']","['Opciones vegetarianas', ' Opciones veganas']","Avenida de Brasil 30 Esquina con capitan haya 23, 28020 Madrid España","['2', '1', '9', '19', '29']",
Papúa,229,"3,5",2157,"['15', '30']","['Internacional', ' Española']","['Comidas', ' Cenas']","Plaza De Colón, 4, 28001 Madrid España","['31', '19', '28', '43', '89']",
Comparte Bistró,27,"4,5",2180,,"['Francesa', ' Española', ' Fusión', ' Mediterránea']",,"C. De Belén, 6, 28004 Madrid España","['1', '0', '3', '7', '12']",
La Mordida Calle Segovia,189,"4,0",2181,"['3', '28']",['Mexicana'],['Opciones vegetarianas'],"Travesia del Conde 4, 28005 Madrid España","['18', '13', '29', '46', '68']",
Asador Lekeitio,86,"4,0",2182,"['38', '150']",['Española'],['Opciones sin gluten'],"Calle Uruguay 16, 28016 Madrid España","['3', '3', '13', '30', '36']",
MENA - Apulian food,17,"5,0",2183,"['2', '14']","['Italiana', ' Street food / Comida en la calle', ' Del sur de Italia']","['Cenas', ' Desayuno', ' Comidas', ' Brunch', ' Bebidas']","Calle Humilladero, 16, 28005 Madrid España","['0', '0', '0', '0', '9']",
Canalla Lounge,73,"4,5",2184,"['3', '25']","['Mexicana', ' Latina', ' Fusión', ' Pub', ' Pub restaurante', ' Restaurantes de cerveza']","['Opciones vegetarianas', ' Opciones sin gluten']","Calle de García de Paredes 2 Esquina Bravo Murillo, 28010 Madrid España","['4', '2', '8', '11', '43']",
El Economato Las Letras,67,"4,0",2185,"['5', '35']",['Española'],['Opciones vegetarianas'],"Calle Echegaray 16, 28014 Madrid España","['2', '4', '7', '8', '29']",
99 KŌ Sushi Bar,47,"4,5",2187,,"['Asiática', ' Japonesa', ' Sushi']",,"Marqués de Villamagna 1, 28001 Madrid España","['4', '1', '0', '5', '31']",
Kaprika Bar,199,"4,0",32,,"['Española', ' Europea']",,"Calle Atenas 2, 28224 Pozuelo de Alarcón España","['17', '19', '21', '72', '69']",
Oscar Hermanos,45,"4,5",2210,"['7', '25']",['Española'],"['Opciones vegetarianas', ' Opciones veganas']","Calle Manuel Chaves Nogales 11, 28033 Madrid España","['2', '0', '1', '10', '23']",
Taberna Griega,241,"4,0",2211,"['16', '30']","['Mediterránea', ' Europea', ' Griega']",['Opciones vegetarianas'],"calle tesoro nº6, 28004 Madrid España","['25', '25', '22', '41', '111']",
Funambulista Bar,21,"4,5",2212,"['2', '9']","['Bar', ' Pub', ' Española']","['Comidas', ' Cenas', ' Abierto hasta tarde', ' Bebidas']","Calle De Las Huertas 68, 28014 Madrid España","['0', '0', '0', '1', '10']",
A Cova Do Trasno,40,"4,5",38,,"['Restaurante de carne', ' Mediterránea', ' Española']",,"C/ platería 49, 36980, O Grove España","['3', '2', '1', '9', '22']",
Asian Restaurant,39,"4,5",2214,"['10', '25']","['China', ' Japonesa', ' Sushi', ' Asiática', ' Tailandesa']","['Comidas', ' Cenas']","Calle de San Bernardo 10, 28015 Madrid España","['2', '1', '2', '1', '26']",
Partenope,13,"5,0",2236,,"['Italiana', ' Mediterránea']",,"Calle Zorrilla 11, 28014 Madrid España","['0', '0', '0', '0', '6']",
Moemia Taberna,16,"5,0",2237,,"['Fusión', ' Peruana', ' Asiática', ' Sudamericana']",,"Avenida De Los Andes, 8, 28042 Madrid España","['0', '0', '0', '3', '13']",
Las Terrazas del Thyssen,132,"3,5",2240,,"['Europea', ' Mediterránea', ' Española']",,"Paseo del Prado 8, 28014 Madrid España","['10', '10', '22', '24', '34']",
Cromia,20,"5,0",2238,"['8', '12']","['Venezolana', ' Americana', ' Latina', ' Comida rápida', ' Barbacoa', ' Street food / Comida en la calle']","['Comidas', ' Cenas', ' Abierto hasta tarde', ' Bebidas']","Calle Hartzenbusch Numero 8, 28010 Madrid España","['0', '0', '0', '3', '17']",
Chido,114,"4,0",2239,"['20', '50']","['Mexicana', ' Latina']","['Comidas', ' Cenas', ' Desayuno', ' Bebidas']","Calle de Santa Engracia 54, 28010 Madrid España","['9', '8', '20', '17', '56']",
Nachoos & Tacoos,50,"4,0",2241,,"['Mexicana', ' Latina', ' Centroamericana', ' Española', ' Sudamericana']",,"Av. San Luis, 166 local 1, 28033 Madrid España","['3', '1', '5', '14', '24']",
Cafe Colon Madrid,202,"4,0",2242,,"['Europea', ' Española', ' Internacional', ' Mediterránea']",,"Calle Goya 2 Plaza de Colón, 28001 Madrid España","['8', '18', '19', '48', '74']",
Tusushiburrito,16,"5,0",2265,,"['Japonesa', ' Sushi', ' Asiática', ' Street food / Comida en la calle', ' Comida rápida']",,"Calle Barceló 6, Local 314, Segunda planta Mercado Barceló, 28004 Madrid España","['0', '0', '0', '0', '15']",
Restaurante Luos,118,"4,0",2266,"['15', '35']","['Japonesa', ' Sushi', ' Asiática', ' Fusión']",['Opciones veganas'],"Calle de Andres Mellado 5 En Frente Del Corte Ingles, 28015 Madrid España","['7', '4', '12', '34', '54']",
Bienmesabe,110,"4,0",2267,"['25', '30']","['Mediterránea', ' Española']",['Opciones vegetarianas'],"General Arrando 26, 28010 Madrid España","['4', '3', '22', '57', '18']",
Bahiana Club,151,"4,0",2268,"['15', '21']","['Mediterránea', ' Europea', ' Española', ' Internacional']",['Opciones sin gluten'],"Calle Conde, 4 Calle peatonal a la altura de la calle Segovia, 10, 28005 Madrid España","['16', '3', '16', '36', '63']",
Restaurante LA LEÑERA,196,"3,5",2269,,"['Restaurante de carne', ' Mediterránea', ' Española']",,"C/ Hernani 60, 28020 Madrid España","['14', '9', '37', '87', '40']",
Graal,28,"4,5",2270,"['8', '17']","['Comida rápida', ' Venezolana', ' Americana']","['Comidas', ' Cenas', ' Bebidas']","Calle Del Cardenal Cisneros 1, 28010 Madrid España","['1', '0', '1', '4', '22']",
Cascanueces,55,"4,5",2271,,"['Española', ' Comedor']",,"Calle Albasanz 11, 28037 Madrid España","['1', '0', '8', '17', '28']",
La Burlona,143,"4,0",2294,"['9', '33']","['Mediterránea', ' Española']","['Comidas', ' Cenas', ' Abierto hasta tarde', ' Bebidas']","Calle de Santa Isabel 40, 28012 Madrid España","['17', '8', '8', '32', '56']",
Aura Cafe,29,"4,5",2295,"['5', '20']","['Café', ' Mediterránea', ' Española', ' Bares para comer', ' Restaurantes de cerveza']",['Opciones vegetarianas'],"Calle Moreto 15, 28014 Madrid España","['2', '0', '0', '1', '21']",
Restaurante Badila,194,"4,0",2296,"['15', '19']","['Europea', ' Española', ' Mediterránea']",['Opciones vegetarianas'],"Calle San Pedro Martir 6 Calle de la Cabeza 7, 28012 Madrid España","['24', '8', '20', '59', '54']",
Bálamo Restaurante,837,"3,5",26,,"['Marisco', ' Mediterránea', ' Española']",,"Calle Cooperación, 11, 28922 Alcorcón España","['150', '95', '133', '177', '276']",
Restaurante Mutis,52,"4,5",2297,"['32', '48']","['Mediterránea', ' Española']",['Opciones vegetarianas'],"Calle de López de Hoyos 4, 28006 Madrid España","['0', '3', '8', '7', '29']",
La Casa del Pulpo,91,"4,0",2298,"['7', '15']","['Bar', ' Española']","['Cenas', ' Comidas']","Calle de Los Almendrales 17, 28026 Madrid España","['1', '7', '15', '32', '30']",
Punto Basico,238,"3,5",2299,"['25', '30']","['Mediterránea', ' Europea', ' Española']",['Opciones veganas'],"Calle Marques de Urquijo 23, 28008 Madrid España","['23', '15', '31', '73', '58']",
Opium Madrid Restaurant,142,"4,0",2319,,"['Asiática', ' Fusión', ' Española', ' Internacional', ' Mediterránea']",,"C/ José Abascal 56 Metro Gregorio Maranon, 28003 Madrid España","['3', '8', '28', '42', '44']",
Federal Café Conde Barajas,161,"4,0",2320,"['10', '100']","['Café', ' Internacional', ' Europea']","['Opciones vegetarianas', ' Opciones veganas', ' Opciones sin gluten']","Plaza del Conde de Barajas 3, 28005 Madrid España","['19', '4', '9', '16', '27']",
La Paella Real,490,"3,5",2321,,"['Marisco', ' Mediterránea', ' Europea', ' Española']",,"Calle Arrieta No. 2, 28013 Madrid España","['21', '15', '54', '55', '47']",
Niña de Papá,134,"4,0",2322,"['20', '50']","['Mediterránea', ' Española', ' Contemporánea']","['Comidas', ' Cenas']","Alcalde Sainz de Baranda, 63, 28009 Madrid España","['13', '3', '24', '37', '56']",
Om Tandoori,15,"5,0",2323,"['9', '19']","['India', ' Asiática', ' Saludable', ' Nepalí']","['Comidas', ' Cenas', ' Abierto hasta tarde', ' Bebidas']","Calle Corazón de María, 32, 28002 Madrid España","['0', '0', '0', '2', '7']",
Cascorro Bistrot,107,"4,0",2324,"['5', '50']","['Francesa', ' Vinoteca', ' Mediterránea']",['Opciones vegetarianas'],"Plaza Cascorro 21, 28005 Madrid España","['14', '2', '5', '10', '47']",
Restaurante Filandon,2426,"4,0",2327,,"['Mediterránea', ' Europea', ' Española', ' Saludable']",,"Carretera Fuencarral-El Pardo M - 612 Km. 1,9, 28049 Madrid España","['209', '189', '299', '754', '857']",
Seduccion A La Carta By Molt Hospitality,27,"4,5",2347,"['10', '40']","['Mediterránea', ' Europea', ' Española']","['Comidas', ' Desayuno', ' Cenas', ' Brunch', ' Abierto hasta tarde', ' Bebidas']","Calle de la Infanta Mercedes 31, 28020 Madrid España","['2', '1', '1', '1', '19']",
Shanghai Station Juan Bravo,51,"4,0",2348,"['13', '50']","['China', ' Asiática']","['Comidas', ' Cenas', ' Bebidas']","Calle de Juan Bravo 25, 28006 Madrid España","['3', '2', '6', '15', '23']",
Don Lay,243,"3,5",2349,,"['China', ' Asiática']",,"Castelló 117 esquina María de Molina, 28006 Madrid España","['28', '26', '40', '54', '78']",
La Daniela Medinaceli,622,"3,5",2350,"['19', '38']","['Mediterránea', ' Española']","['Comidas', ' Cenas', ' Abierto hasta tarde', ' Bebidas']","Plaza De Jesús, 7 BAJO, 28014 Madrid España","['66', '53', '87', '188', '95']",
Kalma,39,"4,5",2351,"['15', '40']","['Europea', ' Mediterránea']","['Comidas', ' Cenas']","Avenida de Aragon No 400, 28022 Madrid España","['0', '1', '1', '9', '11']",
Un Arábigo En Madrid,17,"5,0",2352,,"['De Oriente Medio', ' Pakistaní', ' Persa', ' Árabe', ' Saludable']",,"Av. De La Ciudad De Barcelona, 5, 28007 Madrid España","['0', '0', '1', '0', '12']",
Open Burger,39,"4,5",2353,"['7', '18']","['Americana', ' Latina', ' Española']","['Cenas', ' Abierto hasta tarde', ' Bebidas', ' Comidas']","Calle de Hortaleza, 98, 28004 Madrid España","['0', '0', '3', '13', '19']",
Grosso Napoletano,148,"4,0",2373,"['8', '17']","['Italiana', ' Pizza', ' Europea', ' Napolitana', ' De Campania', ' Del sur de Italia', ' Mediterránea']",['Opciones vegetarianas'],"Calle Gaztambide 36, 28015 Madrid España","['18', '7', '16', '32', '62']",
El Pentágono,32,"4,5",2374,"['7', '40']","['Española', ' Mediterránea']","['Desayuno', ' Comidas', ' Cenas']","Calle General de Oraá, 69, 28006 Madrid España","['2', '0', '1', '6', '21']",
Yorokobi,14,"5,0",2375,"['10', '25']","['Sushi', ' China', ' Japonesa', ' Asiática']","['Comidas', ' Cenas']","Calle Juan de Olias, 28 Metro Estrecho, 28020 Madrid España","['0', '0', '0', '2', '11']",
Café De París,67,"4,0",2376,,"['Comidas', ' Cenas']",,"Calle Félix Boix 8, 28036 Madrid España","['4', '5', '6', '17', '31']",
Restaurante Thong,89,"4,0",2377,,"['China', ' Asiática']",,"Calle Lopez de Hoyos 14, 28006 Madrid España","['2', '4', '5', '31', '35']",
Bistro Barceló,14,"5,0",2378,"['9', '38']","['Francesa', ' Mediterránea', ' Fusión', ' Internacional', ' Española']","['Cenas', ' Brunch', ' Desayuno', ' Comidas', ' Bebidas']","Calle Barcelo 6 Mercado Municipal, plata baja, puesto 103, 28004 Madrid España","['0', '0', '0', '0', '13']",
Burgundy Madrid,63,"4,0",2379,"['30', '60']","['Mediterránea', ' Española']","['Comidas', ' Cenas']","Calle Hermosilla 2, 28001 Madrid España","['2', '3', '8', '13', '29']",
Los Metales Bar&kitchen,25,"4,5",2403,,"['Vinoteca', ' Mediterránea', ' Española']",,"Calle Bolivar 24, 28045 Madrid España","['2', '0', '0', '4', '19']",
A'Pulpeira,58,"4,0",2406,,"['Mediterránea', ' Española']",,"Calle Maiquez 52, 28009 Madrid España","['1', '1', '4', '31', '20']",
Forte Pizza Bar,57,"4,0",2407,,"['Italiana', ' Pizza']",,"Calle Castello 52 semi esquina con Calle Ayala, 28001 Madrid España","['3', '2', '1', '18', '21']",
Restaurante Alcala,51,"4,5",19,,"['Española', ' Mediterránea']",,"Avenida de Madrid 2, 28701 San Sebastián de los Reyes España","['0', '2', '6', '16', '22']",
Landareak,27,"4,5",2408,,"['Saludable', ' Mediterránea', ' Española']",,"Calle de Ruiz 5, 28004 Madrid España","['0', '2', '0', '1', '22']",
