nombre,numero de opiniones,puntuacion sobre 5,ranking,precio,tipos de cocina,dietas especiales,ubicaciones,puntuaciones desglosadas,Unnamed: 9
arce restaurante,383,"4,0",1411,,"['Mediterránea', ' Europea', ' Española']",,"Calle Augusto Figueroa, 32, 28004 Madrid España","['36', '29', '24', '52', '170']",
Quevedo,126,"4,0",1412,,"['Bar', ' Mediterránea', ' Europea', ' Española', ' Pub']",,"Calle Lope De Vega, 17, 28014 Madrid España","['4', '0', '12', '43', '39']",
Villa Capri,324,"3,5",1413,,"['Italiana', ' Toscana', ' Del centro de Italia']",,"Calle De Hortaleza 118, 28004 Madrid España","['32', '32', '43', '43', '108']",
Zuma Madrid,106,"4,0",1455,"['75', '170']","['Japonesa', ' Sushi', ' Asiática', ' Saludable', ' Asador', ' Bares para comer']",['Opciones sin gluten'],"Paseo de la Castellana 2, 28046 Madrid España","['6', '2', '11', '10', '35']",
Restaurante Casa de Valencia,645,"3,5",1414,,"['Marisco', ' Mediterránea', ' Europea', ' Española']",,"Paseo Pintor Rosales 58, 28008 Madrid España","['34', '29', '62', '143', '106']",
La Tía Carlota,105,"4,0",1415,"['12', '24']",['Internacional'],"['Opciones vegetarianas', ' Opciones sin gluten']","Calle de la sombrerería 6, 28012 Madrid España","['3', '8', '9', '23', '56']",
Kilómetros de Pizza,23,"5,0",1338,,"['Italiana', ' Pizza', ' Mediterránea', ' Europea']",,"Avenida de Brasil 6, 28020 Madrid España","['0', '0', '1', '1', '21']",
Mr Carrot Cake,39,"4,5",.º 48,"['3', '15']","['Café', ' Francesa', ' Americana', ' Europea', ' Sudamericana', ' Húngara']","['Desayuno', ' Cenas', ' Bebidas']","Calle Caleruega 29 Local 1, 28033 Madrid España","['0', '1', '1', '5', '26']",
Rocablanca,134,"4,0",1439,,"['Café', ' Española', ' Bar', ' Pub']",,"Calle de Fuencarral 71 28004, 28004 Madrid España","['8', '4', '9', '34', '61']",
La Sanducherie,156,"4,0",1440,"['8', '14']","['Pub con cerveza artesanal', ' Americana']","['Opciones vegetarianas', ' Opciones veganas']","Calle Santa Teresa 1, 28004 Madrid España","['10', '4', '14', '46', '72']",
Finca Lucero. Restaurante Italo Argentino,111,"4,0",1441,,"['Italiana', ' Mediterránea']",,"Calle Alar del Rey n 14, 28042 Madrid España","['4', '2', '4', '52', '44']",
