Santita Fuencarral;1072;4,5;90;['20', '25'];['Mexicana', ' Latina', ' Saludable'];['Opciones vegetarianas', ' Opciones veganas', ' Opciones sin gluten'];Calle Fuencarral 74 esquina calle Benficiencia, 28004 Madrid España;['15', '17', '36', '97', '805'];
Waraku;73;5;91;['15', '50'];['Japonesa', ' Sushi', ' Asiática'];['Opciones veganas', ' Opciones sin gluten'];Calle de Benito Gutiérrez 4, 28008 Madrid España;['0', '0', '0', '4', '65'];
Barganzo;156;5;93;['5', '15'];['Mediterránea', ' Saludable', ' De Oriente Medio', ' Israelí', ' Street food / Comida en la calle'];['Opciones vegetarianas', ' Opciones veganas', ' Kosher', ' Opciones sin gluten'];Calle Colmenares 13, 28004 Madrid España;['0', '0', '4', '17', '58'];
Rosi La Loca;7925;4,5;94;['20', '30'];['Internacional', ' Española', ' Contemporánea'];['Opciones vegetarianas'];Calle Cádiz, 4, 28012 Madrid España;['75', '57', '166', '698', '2.694'];
Cherry Pecas;1464;4,5;92;['4', '11'];['Mexicana', ' Latina', ' Comida rápida', ' Centroamericana'];['Opciones vegetarianas', ' Opciones veganas', ' Opciones sin gluten'];Paseo de San Francisco de Sales 17, 28003 Madrid España;['39', '18', '48', '167', '1.113'];
Sublime Dreams Food;243;5;116;['12', '30'];['Americana', ' Fusión'];['Bebidas', ' Comidas', ' Cenas'];Calle Hernani 38, 28020 Madrid España;['2', '1', '3', '40', '195'];
Rigatoni;248;4,5;1;['14', '29'];['Italiana', ' Mediterránea', ' Europea', ' Napolitana', ' De Campania', ' Toscana', ' Romana', ' Del Lacio', ' Siciliana', ' Del centro de Italia', ' Del sur de Italia'];['Opciones vegetarianas', ' Opciones veganas', ' Opciones sin gluten'];Carretera Boadilla 8, 28220 Majadahonda España;['4', '2', '11', '47', '173'];
El Social;695;5;117;['20', '40'];['Mediterránea', ' Saludable', ' Internacional', ' Fusión'];['Opciones vegetarianas', ' Opciones veganas', ' Opciones sin gluten'];Calle de Hernán Córtez 19, 28004 Madrid España;['3', '3', '14', '34', '361'];
Bosque De Piamonte;77;5;118;nan;['Italiana', ' Pizza', ' Mediterránea'];nan;Calle De Fuencarral, 86, 28004 Madrid España;['0', '0', '2', '4', '67'];
Mu! El Placer De La Carne;260;5;113;['12', '30'];['Restaurante de carne', ' Argentina', ' Saludable'];['Comidas', ' Cenas'];C/ Huertas, 1, 28012 Madrid España;['2', '2', '3', '19', '140'];
Indian Accent;98;5;119;nan;['India', ' Saludable'];nan;Calle Colmenares, 5, 28004 Madrid España;['0', '0', '1', '3', '50'];
VINITUS GRAN VÍA MADRID;608;4,5;120;['15', '30'];['Mediterránea', ' Española', ' Saludable'];['Opciones vegetarianas', ' Opciones veganas', ' Opciones sin gluten'];Gran Vía 4, 28013 Madrid España;['2', '4', '17', '56', '238'];
Dans Le Noir ?;457;4,5;144;['39', '65'];['Española', ' Contemporánea', ' Mediterránea', ' Europea'];['Opciones vegetarianas', ' Opciones veganas', ' Opciones sin gluten'];Plaza del Biombo 5, 28013 Madrid España;['21', '9', '15', '41', '294'];
Pituca Lounge;185;5;145;nan;['Peruana', ' Japonesa', ' Saludable'];nan;Pº. Del Pintor Rosales 24, 28008 Madrid España;['2', '2', '2', '6', '162'];
Chulapas Cafe;129;5;146;nan;['Latina', ' Colombiana'];nan;Calle Socorro 1 Vicálvaro, 28032 Madrid España;['1', '0', '1', '7', '112'];
El miniBAR;2550;4,5;147;['15', '25'];['Bar', ' Mediterránea', ' Europea', ' Española'];['Opciones vegetarianas', ' Opciones veganas', ' Opciones sin gluten'];Mesón de Paños, 1 cerca de Plaza Mayor, 28013 Madrid España;['5', '12', '49', '219', '862'];
El Rincon del Cabo;393;4,5;148;['10', '25'];['Bar', ' Mediterránea', ' Europea', ' Española', ' Pub restaurante'];['Opciones vegetarianas'];Calle Lavapies 8 Calle Lavapies 8, 28012 Madrid España;['2', '4', '11', '20', '191'];
Mesón Molinero;376;4,5;149;nan;['Restaurante de carne', ' Mediterránea', ' Europea', ' Española'];nan;Calle Alhambra 72, 28047 Madrid España;['3', '5', '10', '37', '290'];
The Irish Temple;326;4,5;150;nan;['Americana'];nan;Avenida Moratalaz 123 Posterior, 28030 Madrid España;['11', '8', '9', '49', '245'];
Brew Wild Pizza Bar;382;4,5;172;['9', '15'];['Italiana', ' Pub con cerveza artesanal', ' Bar', ' Pizza'];['Opciones vegetarianas', ' Opciones veganas'];Echegaray, 23, 28014 Madrid España;['1', '5', '11', '43', '141'];
niMÚ Barquillo;869;4,5;173;['40', '60'];['Mediterránea', ' Europea', ' Española', ' Saludable'];['Opciones vegetarianas', ' Opciones veganas', ' Opciones sin gluten'];Calle Barquillo 40, 28004 Madrid España;['13', '7', '40', '218', '493'];
Holi House;79;5;174;['12', '15'];['India'];['Opciones veganas'];Calle de Almansa 89, 28040 Madrid España;['1', '0', '0', '3', '58'];
The Irish Temple;108;5;175;nan;['Americana'];nan;Calle Ibiza 66, 28009 Madrid España;['1', '0', '2', '8', '95'];
GastroVía 61;2018;4,5;176;['30', '45'];['Mediterránea', ' Europea', ' Española', ' Saludable'];['Opciones vegetarianas', ' Opciones sin gluten'];Calle Flor Baja, 3 Hotel Mayorazgo, 28013 Madrid España;['8', '13', '45', '155', '1.296'];
Restaurante Gala;303;4,5;177;nan;['Mediterránea', ' Española', ' Internacional', ' Europea', ' Contemporánea'];nan;Calle Espronceda 14, 28003 Madrid España;['7', '3', '23', '84', '167'];
Kaiten Sushi Madrid;263;4,5;178;nan;['Japonesa', ' Sushi', ' Asiática'];nan;C. De San Bernardo, 10, 28015 Madrid 10, 28015 Madrid España;['3', '4', '5', '48', '190'];
Vinos de Bellota;884;4,5;200;['25', '35'];['Contemporánea', ' Mediterránea', ' Europea', ' Española', ' Fusión'];['Opciones vegetarianas', ' Opciones veganas', ' Opciones sin gluten'];Calle Antonio Acuña 27 Corner C/Doctor Castelo, 28009 Madrid España;['5', '9', '39', '190', '471'];
Tinto y Tapas San Pedro;1629;4,5;201;nan;['Mediterránea', ' Europea', ' Española'];nan;Calle San Pedro 22 N° 22, 28014 Madrid España;['13', '10', '38', '136', '427'];
La Hummuseria;637;4,5;202;['8', '15'];['Mediterránea', ' Saludable', ' De Oriente Medio', ' Israelí'];['Opciones vegetarianas', ' Opciones veganas', ' Opciones sin gluten'];Calle Hernan Cortes 8, 28004 Madrid España;['8', '6', '37', '173', '226'];
Pajaritos Mojados;331;4,5;203;['5', '9'];['Bar', ' Pub restaurante', ' Street food / Comida en la calle'];['Opciones vegetarianas', ' Opciones veganas', ' Opciones sin gluten'];Calle Del Humilladero, 3 detrás del Mercado de La Cebada, 28005 Madrid España;['3', '5', '10', '72', '169'];
Havana Blues;332;4,5;204;nan;['Caribeña', ' Latina', ' Cubana', ' Centroamericana'];nan;Paseo Santa Maria de La Cabeza 56, 28045 Madrid España;['1', '2', '22', '106', '172'];
Nacho Bravo;157;4,5;205;['7', '15'];['Mexicana', ' Latina', ' Fusión'];['Opciones veganas'];Paseo de las Delicias 139, 28045 Madrid España;['1', '3', '6', '20', '110'];
Dolores y Lola;268;4,5;206;['15', '25'];['Mediterránea', ' Europea', ' Española', ' Saludable'];['Opciones vegetarianas', ' Opciones veganas', ' Opciones sin gluten'];Calle Monteleon, 17, 28004 Madrid España;['3', '5', '14', '60', '140'];
Miyama Flor Baja;843;4,5;229;nan;['Japonesa', ' Saludable'];nan;Calle Flor Baja 5, 28013 Madrid España;['11', '21', '42', '224', '450'];
Santceloni;611;4,5;230;['50', '185'];['Mediterránea', ' Europea', ' Española'];['Opciones vegetarianas', ' Opciones veganas', ' Opciones sin gluten'];Paseo Castellana 57, 28046 Madrid España;['8', '17', '36', '65', '328'];
La Encomienda;578;4,5;231;['6', '20'];['Contemporánea', ' Mediterránea', ' Saludable'];['Opciones vegetarianas', ' Opciones veganas', ' Opciones sin gluten'];Calle de la Encomienda 19, 28012 Madrid España;['5', '18', '32', '103', '302'];
Casa Macareno;421;4,5;232;['12', '24'];['Mediterránea', ' Española', ' Bares para comer'];['Opciones vegetarianas', ' Opciones sin gluten'];Calle San Vicente Ferrer 44 Barrio Malasaña, 28004 Madrid España;['10', '4', '19', '104', '183'];
El Trébol 1983 Pizzas y Empanadas;489;4,5;233;['3', '20'];['Comida rápida', ' Pizza', ' Argentina'];['Opciones vegetarianas', ' Opciones veganas'];Calle de la Cruz 3, 28012 Madrid España;['21', '10', '18', '71', '292'];
El Sueño de Carmen;139;5;234;['12', '30'];['Mediterránea', ' Española'];['Desayuno', ' Comidas', ' Cenas', ' Brunch'];C. San Epifanio, 7, 28005 Madrid España;['0', '0', '0', '7', '122'];
El Club Allard by Martín Berasategui;1837;4,5;235;['140', '300'];['Mediterránea', ' Europea', ' Española', ' Internacional', ' Contemporánea', ' Fusión'];['Opciones vegetarianas', ' Opciones veganas', ' Opciones sin gluten'];C. de Ferraz, 2 Plaza de España, 28008 Madrid España;['31', '32', '91', '244', '1.053'];
Restaurante El Landó;508;4,5;258;['35', '139'];['Europea', ' Española'];['Opciones vegetarianas', ' Opciones sin gluten'];Plaza Gabriel Miro, 8 BAJO, 28005 Madrid España;['11', '16', '26', '99', '246'];
Bacira;1150;4,5;259;['25', '35'];['Japonesa', ' Mediterránea', ' Europea', ' Asiática', ' Fusión'];['Opciones vegetarianas', ' Opciones veganas', ' Opciones sin gluten'];Calle del Castillo 16, 28010 Madrid España;['22', '17', '72', '328', '652'];
Marisquería Salamar;258;4,5;260;nan;['Marisco', ' Mediterránea', ' Europea', ' Española'];nan;Calle Cartagena, 103, 28002 Madrid España;['6', '11', '15', '52', '147'];
Sanissimo Opera;390;4,5;262;['8', '11'];['Internacional', ' Mediterránea', ' Europea', ' Saludable', ' Restaurantes de cerveza'];['Opciones veganas', ' Opciones vegetarianas', ' Opciones sin gluten'];Calle Campomanes, 5, 28013 Madrid España;['18', '9', '18', '65', '127'];
DokiDOki;908;4,5;261;['15', '70'];['Japonesa', ' Sushi', ' Asiática'];['Opciones vegetarianas', ' Opciones veganas', ' Opciones sin gluten'];Calle de Villalar , 4, 28001 Madrid España;['15', '15', '59', '209', '489'];
Bocadillos Oink;183;4,5;263;nan;['Comida rápida', ' Europea', ' Española'];nan;Calle Gran Via 22, 28013 Madrid España;['1', '0', '1', '17', '67'];
Chuka Ramen Bar;574;4,5;264;['25', '30'];['Japonesa'];['Opciones vegetarianas'];Calle Echegaray 9, 28014 Madrid España;['10', '19', '46', '175', '256'];
MU! El Placer de la Carne II;819;4,5;287;['11', '35'];['Restaurante de carne', ' Barbacoa', ' Saludable', ' Argentina'];['Opciones sin gluten'];Calle de Victoria 12, 28012 Madrid España;['7', '5', '14', '47', '397'];
Art & Sushi;288;4,5;288;['16', '49'];['Sushi', ' Asiática', ' Internacional', ' Hawaiana', ' Fusión japonesa'];['Opciones vegetarianas', ' Opciones veganas', ' Opciones sin gluten'];Calle Carranza 9, 28004 Madrid España;['4', '11', '22', '64', '155'];
La Castela;1198;4,5;289;['30', '45'];['Mediterránea', ' Española'];['Opciones vegetarianas', ' Opciones veganas', ' Opciones sin gluten'];28009 C/ Doctor Castelo, 22, Madrid España;['24', '17', '66', '388', '575'];
La Sanabresa;992;4,5;290;nan;['Mediterránea', ' Española'];nan;Calle Amor de Dios 12, 28014 Madrid España;['15', '16', '44', '198', '315'];
La Terraza de Oscar;1065;4,5;291;nan;['Bar', ' Mediterránea', ' Europea', ' Española'];nan;Plaza de Pedro Zerolo 12 HOTEL ROOM MATE ÓSCAR, 28004 Madrid España;['40', '27', '50', '133', '636'];
El Inti de Oro;601;4;292;['25', '35'];['Peruana', ' Latina'];['Opciones vegetarianas', ' Opciones sin gluten'];Calle Ventura de la Vega, 12, 28014 Madrid España;['16', '21', '52', '204', '232'];
La MaMá Restaurante;225;4,5;293;['20', '35'];['Contemporánea', ' Mediterránea', ' Europea', ' Española', ' Saludable'];['Opciones vegetarianas', ' Opciones sin gluten'];Avenida de Brasil, 6 bis En el parque, 28020 Madrid España;['0', '7', '14', '63', '120'];
Burnout Burgers;634;4,5;317;['11', '15'];['Americana', ' Internacional'];['Opciones sin gluten'];Calle Fuencarral, 148, 28010 Madrid España;['25', '17', '55', '154', '351'];
Sr. Ito Lab;231;4,5;318;['25', '40'];['Japonesa', ' Sushi', ' Asiática', ' Fusión'];['Opciones vegetarianas', ' Opciones veganas', ' Opciones sin gluten'];Calle Trafalgar 7, 28010 Madrid España;['4', '7', '12', '51', '150'];
Abaceria Tapas Lambuzo Conchas;454;4,5;319;nan;['Mediterránea', ' Europea', ' Española'];nan;Calle Conchas 9 esquina con Costanilla de los Angeles, 28013 Madrid España;['10', '7', '34', '117', '195'];
